fips_code,incident_start_date,incidenttype,is_major_disaster,state
48331,2024-04-26 00:00:00+00:00,Flood,1,TX
48333,2024-04-26 00:00:00+00:00,Flood,1,TX
48343,2024-04-26 00:00:00+00:00,Flood,1,TX
48379,2024-04-26 00:00:00+00:00,Flood,1,TX
48387,2024-04-26 00:00:00+00:00,Flood,1,TX
48395,2024-04-26 00:00:00+00:00,Flood,1,TX
48397,2024-04-26 00:00:00+00:00,Flood,1,TX
48405,2024-04-26 00:00:00+00:00,Flood,1,TX
48411,2024-04-26 00:00:00+00:00,Flood,1,TX
48419,2024-04-26 00:00:00+00:00,Flood,1,TX
48431,2024-04-26 00:00:00+00:00,Flood,1,TX
48449,2024-04-26 00:00:00+00:00,Flood,1,TX
48477,2024-04-26 00:00:00+00:00,Flood,1,TX
48253,2024-04-26 00:00:00+00:00,Flood,1,TX
48001,2024-04-26 00:00:00+00:00,Flood,1,TX
48015,2024-04-26 00:00:00+00:00,Flood,1,TX
48027,2024-04-26 00:00:00+00:00,Flood,1,TX
48057,2024-04-26 00:00:00+00:00,Flood,1,TX
48085,2024-04-26 00:00:00+00:00,Flood,1,TX
48097,2024-04-26 00:00:00+00:00,Flood,1,TX
48099,2024-04-26 00:00:00+00:00,Flood,1,TX
48113,2024-04-26 00:00:00+00:00,Flood,1,TX
48121,2024-04-26 00:00:00+00:00,Flood,1,TX
48133,2024-04-26 00:00:00+00:00,Flood,1,TX
48139,2024-04-26 00:00:00+00:00,Flood,1,TX
48145,2024-04-26 00:00:00+00:00,Flood,1,TX
48187,2024-04-26 00:00:00+00:00,Flood,1,TX
48199,2024-04-26 00:00:00+00:00,Flood,1,TX
48201,2024-04-26 00:00:00+00:00,Flood,1,TX
48213,2024-04-26 00:00:00+00:00,Flood,1,TX
48219,2024-04-26 00:00:00+00:00,Flood,1,TX
48241,2024-04-26 00:00:00+00:00,Flood,1,TX
48257,2024-04-26 00:00:00+00:00,Flood,1,TX
48277,2024-04-26 00:00:00+00:00,Flood,1,TX
48289,2024-04-26 00:00:00+00:00,Flood,1,TX
48291,2024-04-26 00:00:00+00:00,Flood,1,TX
48337,2024-04-26 00:00:00+00:00,Flood,1,TX
48339,2024-04-26 00:00:00+00:00,Flood,1,TX
48347,2024-04-26 00:00:00+00:00,Flood,1,TX
48349,2024-04-26 00:00:00+00:00,Flood,1,TX
48351,2024-04-26 00:00:00+00:00,Flood,1,TX
48365,2024-04-26 00:00:00+00:00,Flood,1,TX
48373,2024-04-26 00:00:00+00:00,Flood,1,TX
48401,2024-04-26 00:00:00+00:00,Flood,1,TX
48403,2024-04-26 00:00:00+00:00,Flood,1,TX
48407,2024-04-26 00:00:00+00:00,Flood,1,TX
48423,2024-04-26 00:00:00+00:00,Flood,1,TX
48443,2024-04-26 00:00:00+00:00,Flood,1,TX
48455,2024-04-26 00:00:00+00:00,Flood,1,TX
48457,2024-04-26 00:00:00+00:00,Flood,1,TX
48467,2024-04-26 00:00:00+00:00,Flood,1,TX
48471,2024-04-26 00:00:00+00:00,Flood,1,TX
48473,2024-04-26 00:00:00+00:00,Flood,1,TX
19047,2024-04-26 00:00:00+00:00,Tornado,1,IA
19129,2024-04-26 00:00:00+00:00,Tornado,1,IA
19153,2024-04-26 00:00:00+00:00,Tornado,1,IA
19039,2024-04-26 00:00:00+00:00,Tornado,1,IA
